am	8276:2836:6769:1689
cocktail	58653:50991:2046:316
green	53750:51368:1506:286
olives	55549:51368:1574:301
table	58788:51384:1439:301
celery	60497:51384:1641:362
soups	56876:52440:2114:301
bisque	52918:52892:1641:362
tomato	55774:52907:1956:316
with	58090:52922:1079:301 60767:56543:1101:286
rice	59552:52937:1101:286
consomme	57416:53405:2721:316
en	60542:53526:562:196
tasse	61509:53435:1461:286
fish	57146:54280:1529:301
fried	55729:60662:1349:301 59057:55155:1349:316 52918:54733:1326:301
sole	56921:54763:1079:286
remoulade	58360:54763:2788:316
sauce	58135:56890:1439:316 61509:54793:1484:301
american	56156:55140:2473:301
potatoes	54852:60269:2181:301 60812:60315:2181:301 60834:55170:2159:301
roasts	56606:56015:2586:316
roast	53435:57252:1461:301 54020:56483:1439:301
stuffed	55864:56498:1799:301
duckling	58068:56513:2316:377
apple	56291:56890:1484:362 60272:62623:1484:346
.	52850:57252:292:407
prime	55212:57267:1551:301
ribs	57078:57282:1101:286
beef	59305:57312:1124:286
au	60722:57403:562:196
jus	61599:57312:809:346
salad	56831:58353:2226:301 58428:58851:1371:286
chicory	56066:58821:1979:362
vegetables	55706:59802:4385:331
boiled	52895:60254:1596:301
mashed	58518:60300:1956:316 54694:61039:1934:346
egg	57438:60677:1034:362
plant	58810:60692:1326:286
yellow	57011:61054:1776:301
turnips	59170:61069:2001:362
desserts	56179:62125:3373:301
peach	52873:62578:1529:301
pie	62139:62623:787:286 54762:62593:809:286
biscuit	55909:62970:1731:301
tortoni	58023:62985:1911:301
chocolate	53480:63347:2496:301
vanilla	57326:63362:1844:286
ice	59597:63377:719:286
cream	60767:63377:1619:286
coffee	57123:63830:1596:301
